_id,source,mot_cle_recherche,titre,lien,auteurs,annee,abstract,journal,date_scraping
696797bfbe922a3686dfe7cd,arXiv,Deep Learning,Generalized Regularized Evidential Deep Learning Models: Theory and Comprehensive Evaluation,http://arxiv.org/abs/2512.23753v1,"Deep Shankar Pandey, Hyomin Choi, Qi Yu",2025,"Evidential deep learning (EDL) models, based on Subjective Logic, introduce a principled and computationally efficient way to make deterministic neural networks uncertainty-aware. The resulting evidential models can quantify fine-grained uncertainty using learned evidence. However, the Subjective-Logic framework constrains evidence to be non-negative, requiring specific activation functions whose geometric properties can induce activation-dependent learning-freeze behavior: a regime where gradients become extremely small for samples mapped into low-evidence regions. We theoretically characterize this behavior and analyze how different evidential activations influence learning dynamics. Building on this analysis, we design a general family of activation functions and corresponding evidential regularizers that provide an alternative pathway for consistent evidence updates across activation regimes. Extensive experiments on four benchmark classification problems (MNIST, CIFAR-10, CIFAR-100, and Tiny-ImageNet), two few-shot classification problems, and blind face restoration problem empirically validate the developed theory and demonstrate the effectiveness of the proposed generalized regularized evidential models.",arXiv,2026-01-14 14:18:55.763000
696797bfbe922a3686dfe7d0,arXiv,Deep Learning,DeepCFL: Deep Contextual Features Learning from a Single Image,http://arxiv.org/abs/2011.03712v1,"Indra Deep Mastan, Shanmuganathan Raman",2020,"Recently, there is a vast interest in developing image feature learning methods that are independent of the training data, such as deep image prior, InGAN, SinGAN, and DCIL. These methods are unsupervised and are used to perform low-level vision tasks such as image restoration, image editing, and image synthesis. In this work, we proposed a new training data-independent framework, called Deep Contextual Features Learning (DeepCFL), to perform image synthesis and image restoration based on the semantics of the input image. The contextual features are simply the high dimensional vectors representing the semantics of the given image. DeepCFL is a single image GAN framework that learns the distribution of the context vectors from the input image. We show the performance of contextual learning in various challenging scenarios: outpainting, inpainting, and restoration of randomly removed pixels. DeepCFL is applicable when the input source image and the generated target image are not aligned. We illustrate image synthesis using DeepCFL for the task of image resizing.",arXiv,2026-01-14 14:18:55.770000
696797c0be922a3686dfe7d1,arXiv,Big Data,Big Data Visualization Tools,http://arxiv.org/abs/1801.08336v3,Nikos Bikakis,2018,"Data visualization and analytics are nowadays one of the corner-stones of Data Science, turning the abundance of Big Data being produced through modern systems into actionable knowledge. Indeed, the Big Data era has realized the availability of voluminous datasets that are dynamic, noisy and heterogeneous in nature. Transforming a data-curious user into someone who can access and analyze that data is even more burdensome now for a great number of users with little or no support and expertise on the data processing part. Thus, the area of data visualization and analysis has gained great attention recently, calling for joint action from different research areas and communities such as information visualization, data management and mining, human-computer interaction, and computer graphics. This article presents the limitations of traditional visualization systems in the Big Data era. Additionally, it discusses the major prerequisites and challenges that should be addressed by modern visualization systems. Finally, the state-of-the-art methods that have been developed in the context of the Big Data visualization and analytics are presented, considering methods from the Data Management and Mining, Information Visualization and Human-Computer Interaction communities",arXiv,2026-01-14 14:18:56.779000
696797c0be922a3686dfe7d5,arXiv,Big Data,Building the National Radio Recordings Database: A Big Data Approach to Documenting Audio Heritage,http://arxiv.org/abs/1911.04625v1,"Emily Goodmann, Mark A. Matienzo, Shawn VanCour, William Vanden Dries",2019,"This paper traces strategies used by the Radio Preservation Task Force of the Library of Congress's National Recording Preservation Board to develop a publicly searchable database documenting extant radio materials held by collecting institutions throughout the country. Having aggregated metadata on 2,500 unique collections to date, the project has encountered a series of logistical challenges that are not only technical in nature but also institutional and social, raising critical issues involving organizational structure, political representation, and the ethics of data access. As the project continues to expand and evolve, lessons from its early development offer valuable reminders of the human judgment, hidden labor, and interpersonal relations required for successful big data work.",arXiv,2026-01-14 14:18:56.794000
69679ae7892cb149d9d19328,arXiv,Deep Learning,Learn to Accumulate Evidence from All Training Samples: Theory and Practice,http://arxiv.org/abs/2306.11113v2,"Deep Pandey, Qi Yu",2023,"Evidential deep learning, built upon belief theory and subjective logic, offers a principled and computationally efficient way to turn a deterministic neural network uncertainty-aware. The resultant evidential models can quantify fine-grained uncertainty using the learned evidence. To ensure theoretically sound evidential models, the evidence needs to be non-negative, which requires special activation functions for model training and inference. This constraint often leads to inferior predictive performance compared to standard softmax models, making it challenging to extend them to many large-scale datasets. To unveil the real cause of this undesired behavior, we theoretically investigate evidential models and identify a fundamental limitation that explains the inferior performance: existing evidential activation functions create zero evidence regions, which prevent the model to learn from training samples falling into such regions. A deeper analysis of evidential activation functions based on our theoretical underpinning inspires the design of a novel regularizer that effectively alleviates this fundamental limitation. Extensive experiments over many challenging real-world datasets and settings confirm our theoretical findings and demonstrate the effectiveness of our proposed approach.",arXiv,2026-01-14 14:32:23.019000
69679ae7892cb149d9d19329,arXiv,Deep Learning,The Modern Mathematics of Deep Learning,http://arxiv.org/abs/2105.04026v2,"Julius Berner, Philipp Grohs, Gitta Kutyniok, Philipp Petersen",2021,"We describe the new field of mathematical analysis of deep learning. This field emerged around a list of research questions that were not answered within the classical framework of learning theory. These questions concern: the outstanding generalization power of overparametrized neural networks, the role of depth in deep architectures, the apparent absence of the curse of dimensionality, the surprisingly successful optimization performance despite the non-convexity of the problem, understanding what features are learned, why deep architectures perform exceptionally well in physical problems, and which fine aspects of an architecture affect the behavior of a learning task in which way. We present an overview of modern approaches that yield partial answers to these questions. For selected approaches, we describe the main ideas in more detail.",arXiv,2026-01-14 14:32:23.045000
69679ae7892cb149d9d19330,arXiv,Deep Learning,Predicting Thrombectomy Recanalization from CT Imaging Using Deep Learning Models,http://arxiv.org/abs/2302.04143v2,"Haoyue Zhang, Jennifer S. Polson, Eric J. Yang, Kambiz Nael, William Speier, Corey W. Arnold",2023,"For acute ischemic stroke (AIS) patients with large vessel occlusions, clinicians must decide if the benefit of mechanical thrombectomy (MTB) outweighs the risks and potential complications following an invasive procedure. Pre-treatment computed tomography (CT) and angiography (CTA) are widely used to characterize occlusions in the brain vasculature. If a patient is deemed eligible, a modified treatment in cerebral ischemia (mTICI) score will be used to grade how well blood flow is reestablished throughout and following the MTB procedure. An estimation of the likelihood of successful recanalization can support treatment decision-making. In this study, we proposed a fully automated prediction of a patient's recanalization score using pre-treatment CT and CTA imaging. We designed a spatial cross attention network (SCANet) that utilizes vision transformers to localize to pertinent slices and brain regions. Our top model achieved an average cross-validated ROC-AUC of 77.33 $\pm$ 3.9\%. This is a promising result that supports future applications of deep learning on CT and CTA for the identification of eligible AIS patients for MTB.",arXiv,2026-01-14 14:32:23.065000
69679ae9892cb149d9d19332,arXiv,Blockchain,ChainSplitter: Towards Blockchain-based Industrial IoT Architecture for Supporting Hierarchical Storage,http://arxiv.org/abs/1910.00742v1,"Gang Wang, Zhijie Jerry Shi, Mark Nixon, Song Han",2019,"The fast developing Industrial Internet of Things (IIoT) technologies provide a promising opportunity to build large-scale systems to connect numerous heterogeneous devices into the Internet. Most existing IIoT infrastructures are based on a centralized architecture, which is easier for management but cannot effectively support immutable and verifiable services among multiple parties. Blockchain technology provides many desired features for large-scale IIoT infrastructures, such as decentralization, trustworthiness, trackability, and immutability. This paper presents a blockchain-based IIoT architecture to support immutable and verifiable services. However, when applying blockchain technology to the IIoT infrastructure, the required storage space posts a grant challenge to resource-constrained IIoT infrastructures. To address the storage issue, this paper proposes a hierarchical blockchain storage structure, \textit{ChainSplitter}. Specially, the proposed architecture features a hierarchical storage structure where the majority of the blockchain is stored in the clouds, while the most recent blocks are stored in the overlay network of the individual IIoT networks. The proposed architecture seamlessly binds local IIoT networks, the blockchain overlay network, and the cloud infrastructure together through two connectors, the \textit{blockchain connector} and the \textit{cloud connector}, to construct the hierarchical blockchain storage. The blockchain connector in the overlay network builds blocks in blockchain from data generated in IIoT networks, and the cloud connector resolves the blockchain synchronization issues between the overlay network and the clouds. We also provide a case study to show the efficiency of the proposed hierarchical blockchain storage in a practical Industrial IoT case.",arXiv,2026-01-14 14:32:25.365000
69679ae9892cb149d9d19335,arXiv,Blockchain,Blockchain-Based Federated Learning: Incentivizing Data Sharing and Penalizing Dishonest Behavior,http://arxiv.org/abs/2307.10492v1,"Amir Jaberzadeh, Ajay Kumar Shrestha, Faijan Ahamad Khan, Mohammed Afaan Shaikh, Bhargav Dave, Jason Geng",2023,"With the increasing importance of data sharing for collaboration and innovation, it is becoming more important to ensure that data is managed and shared in a secure and trustworthy manner. Data governance is a common approach to managing data, but it faces many challenges such as data silos, data consistency, privacy, security, and access control. To address these challenges, this paper proposes a comprehensive framework that integrates data trust in federated learning with InterPlanetary File System, blockchain, and smart contracts to facilitate secure and mutually beneficial data sharing while providing incentives, access control mechanisms, and penalizing any dishonest behavior. The experimental results demonstrate that the proposed model is effective in improving the accuracy of federated learning models while ensuring the security and fairness of the data-sharing process. The research paper also presents a decentralized federated learning platform that successfully trained a CNN model on the MNIST dataset using blockchain technology. The platform enables multiple workers to train the model simultaneously while maintaining data privacy and security. The decentralized architecture and use of blockchain technology allow for efficient communication and coordination between workers. This platform has the potential to facilitate decentralized machine learning and support privacy-preserving collaboration in various domains.",arXiv,2026-01-14 14:32:25.374000
69679ae9892cb149d9d19336,arXiv,Blockchain,Blockchain for Business Process Enactment: A Taxonomy and Systematic Literature Review,http://arxiv.org/abs/2206.03237v2,"Fabian Stiehle, Ingo Weber",2022,"Blockchain has been proposed to facilitate the enactment of interorganisational business processes. For such processes, blockchain can guarantee the enforcement of rules and the integrity of execution traces - without the need for a centralised trusted party. However, the enactment of interorganisational processes pose manifold challenges. In this work, we ask what answers the research field offers in response to those challenges. To do so, we conduct a systematic literature review (SLR). As our guiding question, we investigate the guarantees and capabilities of blockchain-based enactment approaches. Based on resulting empirical evidence, we develop a taxonomy for blockchain-based enactment. We find that a wide range of approaches support traceability and correctness; however, research focusing on flexibility and scalability remains nascent. For all challenges, we point towards future research opportunities.",arXiv,2026-01-14 14:32:25.377000
69679ae9892cb149d9d19338,arXiv,Blockchain,Oceanic Games: Centralization Risks and Incentives in Blockchain Mining,http://arxiv.org/abs/1904.02368v4,"Nikos Leonardos, Stefanos Leonardos, Georgios Piliouras",2019,"To participate in the distributed consensus of permissionless blockchains, prospective nodes -- or miners -- provide proof of designated, costly resources. However, in contrast to the intended decentralization, current data on blockchain mining unveils increased concentration of these resources in a few major entities, typically mining pools. To study strategic considerations in this setting, we employ the concept of Oceanic Games, Milnor and Shapley (1978). Oceanic Games have been used to analyze decision making in corporate settings with small numbers of dominant players (shareholders) and large numbers of individually insignificant players, the ocean. Unlike standard equilibrium models, they focus on measuring the value (or power) per entity and per unit of resource} in a given distribution of resources. These values are viewed as strategic components in coalition formations, mergers and resource acquisitions. Considering such issues relevant to blockchain governance and long-term sustainability, we adapt oceanic games to blockchain mining and illustrate the defined concepts via examples. The application of existing results reveals incentives for individual miners to merge in order to increase the value of their resources. This offers an alternative perspective to the observed centralization and concentration of mining power. Beyond numerical simulations, we use the model to identify issues relevant to the design of future cryptocurrencies and formulate prospective research questions.",arXiv,2026-01-14 14:32:25.382000
69679ae9892cb149d9d19339,arXiv,Blockchain,Customer Data Sharing Platform: A Blockchain-Based Shopping Cart,http://arxiv.org/abs/2004.13890v1,"Ajay Kumar Shrestha, Sandhya Joshi, Julita Vassileva",2020,"We propose a new free eCommerce platform with blockchains that allows customers to connect to the seller directly, share personal data without losing control and ownership of it and apply it to the domain of shopping cart. Our new platform provides a solution to four important problems: private payment, ensuring privacy and user control, and incentives for sharing. It allows the trade to be open, transparent with immutable transactions that can be used for settling any disputes. The paper presents a case study of applying the framework for a shopping cart as one of the enterprise nodes of MultiChain which provides trading in ethers controlled by smart contracts and also collects user profile data and allows them to receive rewards for sharing their data with other business enterprises. It tracks who shared what, with whom, when, by what means and for what purposes in a verifiable fashion. The user data from the repository is converted into an open data format and shared via stream in the blockchain so that other nodes can efficiently process and use the data. The smart contract verifies and executes the agreed terms of use of the data and transfers digital tokens as a reward to the customer. The smart contract imposes double deposit collateral to ensure that all participants act honestly.",arXiv,2026-01-14 14:32:25.384000
69679ae9892cb149d9d1933b,arXiv,Blockchain,Digital Twins and Blockchain for IoT Management,http://arxiv.org/abs/2309.01042v1,"Mayra Samaniego, Ralph Deters",2023,"Security and privacy are primary concerns in IoT management. Security breaches in IoT resources, such as smart sensors, can leak sensitive data and compromise the privacy of individuals. Effective IoT management requires a comprehensive approach to prioritize access security and data privacy protection. Digital twins create virtual representations of IoT resources. Blockchain adds decentralization, transparency, and reliability to IoT systems. This research integrates digital twins and blockchain to manage access to IoT data streaming. Digital twins are used to encapsulate data access and view configurations. Access is enabled on digital twins, not on IoT resources directly. Trust structures programmed as smart contracts are the ones that manage access to digital twins. Consequently, IoT resources are not exposed to third parties, and access security breaches can be prevented. Blockchain has been used to validate digital twins and store their configuration. The research presented in this paper enables multitenant access and customization of data streaming views and abstracts the complexity of data access management. This approach provides access and configuration security and data privacy protection.",arXiv,2026-01-14 14:32:25.389000
69679be20389552142e1429f,Google Scholar,Data Science,What is ,https://books.google.com/books?hl=fr&lr=&id=-OQ2q5JqOdEC&oi=fnd&pg=PT9&dq=Data+Science&ots=1-7P853HKp&sig=PkMzdvIO7E8Un76bj_rp36IZrxk,M Loukides,book,… and ,M Loukides - 2011 - books.google.com,2026-01-14 14:36:34.696000
69679be20389552142e142a1,Google Scholar,Data Science,Introduction to ,https://link.springer.com/chapter/10.1007/978-3-031-48956-3_1,",",,"… You have, no doubt, already experienced ",", ",2026-01-14 14:36:34.700000
69679be20389552142e142a2,Google Scholar,Data Science,in action,https://link.springer.com/chapter/10.1007/978-3-662-49851-4_1,,Proc,… that process mining provides powerful tools for today’s , - Process mining: ,2026-01-14 14:36:34.702000
69679be20389552142e142a5,Google Scholar,Data Science,The ,https://books.google.com/books?hl=fr&lr=&id=M4wuEQAAQBAJ&oi=fnd&pg=PA17&dq=Data+Science&ots=c5ibAoY6NH&sig=6fePqNl5FnIvgFi300GhHTWQrS4,,book,… Becoming a , - 2024 - books.google.com,2026-01-14 14:36:34.708000
69679be60389552142e142a7,Google Scholar,Machine Learning,of ,https://books.google.com/books?hl=fr&lr=&id=4-x0EQAAQBAJ&oi=fnd&pg=PA125&dq=Machine+Learning&ots=At0aSarOGU&sig=2kytz9s8A7ROvfpFElYAr9RhmEE,"V Sutaria, A Jain",book,"… For stress detection, this review describes the process, merits, and demerits of existing ","V Sutaria, A Jain - Intelligent Strategies for ICT: Proceedings of …, 2025 - books.google.com",2026-01-14 14:36:38.452000
69679be60389552142e142a9,Google Scholar,Machine Learning,What is ,https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,", MJ Murphy",,… A ,", MJ Murphy - ",2026-01-14 14:36:38.456000
69679be60389552142e142aa,Google Scholar,Machine Learning,What is ,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119815075.ch18,J Bell,,… that one can employ in ,J Bell - ,2026-01-14 14:36:38.460000
69679be60389552142e142ab,Google Scholar,Machine Learning,[M],https://courses.cs.washington.edu/courses/cse160/18sp/sections/09/MachineLearning.pdf,,cour,… ● “A breakthrough in ," - Beijing: Tsinghua University Press, 2016 - courses.cs.washington.edu",2026-01-14 14:36:38.463000
69679bec0389552142e142ad,Google Scholar,Artificial Intelligence,in medicine,https://link.springer.com/content/pdf/10.1007/978-3-319-19551-3.pdf,",",,The European Society for ,", ",2026-01-14 14:36:44.892000
69679d0f2b79833f31ac6da1,Google Scholar,Data Science,: a comprehensive overview,https://dl.acm.org/doi/abs/10.1145/3076253,,dl.a,"… , profession, and education of "," - ACM Computing Surveys (CSUR), 2017 - dl.acm.org",2026-01-14 14:41:35.241000
69679d0f2b79833f31ac6da2,Google Scholar,Data Science,R for ,https://www.jstatsoft.org/htaccess.php?volume=077&type=b&issue=01&filename=paper,",",,… providing a complete ,", ",2026-01-14 14:41:35.255000
69679d0f2b79833f31ac6da4,Google Scholar,Data Science,What is ,https://books.google.com/books?hl=fr&lr=&id=-OQ2q5JqOdEC&oi=fnd&pg=PT9&dq=Data+Science&ots=1-7P853KKp&sig=PYKxWQkIzSmogGMeQeUB92mk268,M Loukides,book,… and ,M Loukides - 2011 - books.google.com,2026-01-14 14:41:35.263000
69679d0f2b79833f31ac6da5,Google Scholar,Data Science,50 years of ,https://www.tandfonline.com/doi/abs/10.1080/10618600.2017.1384734,,Tayl,… This article reviews some ingredients of the current “," - Journal of Computational and Graphical Statistics, 2017 - Taylor & Francis",2026-01-14 14:41:35.266000
69679d0f2b79833f31ac6da8,Google Scholar,Data Science,What is ,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003310785-1/data-science-mahyuddin-nasution-rahmad-syah-marischa-elveny,",",,… ,", ",2026-01-14 14:41:35.274000
69679d0f2b79833f31ac6daa,Google Scholar,Data Science,The ,https://books.google.com/books?hl=fr&lr=&id=M4wuEQAAQBAJ&oi=fnd&pg=PA17&dq=Data+Science&ots=c5ibAoY9NH&sig=zetgZ0Se-5ZSK-hmIsmcUhE3C6I,,book,… Becoming a , - 2024 - books.google.com,2026-01-14 14:41:35.282000
69679d142b79833f31ac6dab,Google Scholar,Machine Learning,for microbiologists,https://www.nature.com/articles/s41579-023-00984-1,",",,… how to evaluate a ,", ",2026-01-14 14:41:40.405000
69679d142b79833f31ac6dac,Google Scholar,Machine Learning,of ,https://books.google.com/books?hl=fr&lr=&id=4-x0EQAAQBAJ&oi=fnd&pg=PA125&dq=Machine+Learning&ots=At0aSarRGW&sig=BaWU9ZJVuK_Cv_mJ5T-_Wvr30Ic,"V Sutaria, A Jain",book,"… For stress detection, this review describes the process, merits, and demerits of existing ","V Sutaria, A Jain - Intelligent Strategies for ICT: Proceedings of …, 2025 - books.google.com",2026-01-14 14:41:40.408000
69679d1b2b79833f31ac6db4,Google Scholar,Artificial Intelligence,What is ,http://cse.unl.edu/~choueiry/S09-476-876/Documents/whatisai.pdf,,cse.,… This article for the layman answers basic questions about , - 2007 - cse.unl.edu,2026-01-14 14:41:47.491000
